"Player","","Team","born","Height","Position"
"Mattia Novella","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","25/01/2001","178 cm","DF"
"Bram Nuytinck","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","04/05/1990","190 cm","DF"
"Simeon Nwankwo","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","07/05/1992","198 cm","FW"
"M'bala Nzola","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","18/08/1996","185 cm","FW"
"Brian Oddei","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","18/09/2002","175 cm","FW"
"Stefano Okaka","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","09/08/1989","186 cm","FW"
"Maximiliano Olivera","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","05/03/1992","182 cm","DF"
"Giacomo Olzer","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","14/04/2001","188 cm","MF"
"Jérôme Onguéné","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","22/12/1997","186 cm","DF"
"Riccardo Orsolini","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","24/01/1997","183 cm","FW"
"Victor Osimhen","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","29/12/1998","185 cm","FW"
"Yordan Osorio","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","10/05/1994","189 cm","MF"
"David Ospina","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","31/08/1988","183 cm","GK"
"Adam Ounas","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","11/11/1996","172 cm","FW"
"Thomas Ouwejan","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","30/09/1996","182 cm","DF"
"Daniele Padelli","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","25/10/1985","191 cm","GK"
"Mattia Pagliuca","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","25/04/2002","???","MF"
"Rodrigo Palacio","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","05/02/1982","176 cm","FW"
"Alberto Paleari","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","29/08/1992","193 cm","GK"
"José Palomino","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","05/01/1990","190 cm","DF"
"Martin Palumbo","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","05/03/2002","183 cm","MF"
"Simone Panada","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","02/06/2002","175 cm","MF"
"Goran Pandev","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","27/07/1983","184 cm","FW"
"Ivor Pandur","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","25/03/2000","187 cm","GK"
"Marco Parolo","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","25/01/1985","186 cm","MF"
"Mario Pašalić","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","09/02/1995","189 cm","MF"
"Christian Pastina","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","15/02/2001","185 cm","DF"
"Javier Pastore","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","20/06/1989","187 cm","MF"
"Patric","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","17/04/1993","184 cm","DF"
"Pau López","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","13/12/1994","189 cm","GK"
"Leonardo Pavoletti","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","26/11/1988","188 cm","FW"
"Pedro","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","28/07/1987","167 cm","FW"
"Pedro Obiang","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","27/03/1992","186 cm","MF"
"Pedro Pereira","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","22/01/1998","185 cm","DF"
"Daouda Peeters","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","26/01/1999","185 cm","MF"
"Gianluca Pegolo","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","25/03/1981","183 cm","GK"
"Graziano Pellè","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","15/07/1985","194 cm","FW"
"Lorenzo Pellegrini","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","19/06/1996","188 cm","MF"
"Luca Pellegrini","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","07/03/1999","178 cm","DF"
"Federico Peluso","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","20/01/1984","188 cm","DF"
"Pepe Reina","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","31/08/1982","188 cm","GK"
"Gastón Pereiro","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","11/06/1995","188 cm","MF"
"Roberto Pereyra","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","07/01/1991","182 cm","MF"
