"Player","","Team","born","Height","Position"
"Matteo Gabbia","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","21/10/1999","186 cm","DF"
"Manolo Gabbiadini","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","26/11/1991","186 cm","FW"
"Gabriel Pereira","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","02/07/2002","196 cm","GK"
"Roberto Gagliardini","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","07/04/1994","188 cm","MF"
"Riccardo Gagliolo","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","28/04/1990","180 cm","DF"
"Adolfo Gaich","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","26/02/1999","190 cm","FW"
"Andrey Galabinov","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","13/11/1988","192 cm","FW"
"Giovanni Garofani","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","20/10/2002","188 cm","GK"
"Manuel Gasparini","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","19/05/2002","192 cm","GK"
"Ludovico Gelmi","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","02/05/2001","194 cm","GK"
"Gerard Deulofeu","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","13/03/1994","177 cm","FW"
"Gervinho","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","27/05/1987","179 cm","FW"
"Paolo Ghiglione","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","02/02/1997","191 cm","MF"
"Davide Ghislandi","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","16/06/2001","177 cm","MF"
"Faouzi Ghoulam","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","01/02/1991","188 cm","DF"
"Kamil Glik","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","03/02/1988","190 cm","DF"
"Diego Godín","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","16/02/1986","187 cm","DF"
"Amer Gojak","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","13/02/1997","184 cm","MF"
"Edoardo Goldaniga","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","02/11/1993","193 cm","DF"
"Vladimir Golemić","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","28/06/1991","192 cm","DF"
"Pierluigi Gollini","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","18/03/1995","188 cm","GK"
"Gonzalo Villar","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","23/03/1998","181 cm","MF"
"Piergraziano Gori","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","10/05/1980","189 cm","GK"
"Robin Gosens","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","05/07/1994","184 cm","DF"
"Alberto Grassi","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","07/03/1995","183 cm","MF"
"Jean Greco","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","12/02/2001","179 cm","MF"
"Koray Günter","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","16/08/1994","184 cm","DF"
"Emmanuel Gyabuaa","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","21/09/2001","178 cm","MF"
"Emmanuel Gyasi","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","11/01/1994","182 cm","FW"
"Achraf Hakimi","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","04/11/1998","181 cm","DF"
"Samir Handanovič","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","14/07/1984","193 cm","GK"
"Lukáš Haraslín","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","26/05/1996","182 cm","FW"
"Hans Hateboer","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","09/01/1994","187 cm","DF"
"Jens Hauge","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","12/10/1999","184 cm","FW"
"Theo Hernández","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","06/10/1997","184 cm","DF"
"Hernani","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","27/03/1994","188 cm","MF"
"Përparim Hetemaj","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","12/12/1986","175 cm","MF"
"Aaron Hickey","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","10/06/2002","176 cm","DF"
"Wesley Hoedt","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","06/03/1994","188 cm","DF"
"Krisztofer Horváth","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","08/01/2002","172 cm","MF"
"Elseid Hysaj","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","02/02/1994","182 cm","DF"
"Simone Iacoponi","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","30/04/1987","180 cm","DF"
"Iago Falqué","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","04/01/1990","174 cm","FW"
"Ibañez","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","23/11/1998","185 cm","DF"
"Zlatan Ibrahimović","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","03/10/1981","195 cm","FW"
"Hubert Idasiak","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","03/02/2002","185 cm","GK"
"Igor","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","07/02/1998","184 cm","DF"
"Ivan Ilić","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","17/03/2001","182 cm","MF"
"Josip Iličič","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","29/01/1988","190 cm","FW"
"Matei Ilie","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","11/12/2002","185 cm","DF"
