"Player","","Team","born","Height","Position"
"Hamed Traorè","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","16/02/2000","184 cm","MF"
"Alessandro Tripaldelli","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","09/02/1999","182 cm","DF"
"Filippo Tripi","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","06/01/2002","179 cm","DF"
"Alessandro Tuia","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","08/06/1990","184 cm","DF"
"Stefano Turati","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","05/09/2001","188 cm","GK"
"Martin Turk","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","21/08/2003","193 cm","GK"
"Destiny Udogie","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","28/11/2002","186 cm","DF"
"Samir Ujkani","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","05/07/1988","188 cm","GK"
"Kacper Urbański","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","07/09/2004","178 cm","MF"
"Lautaro Valenti","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","14/01/1999","188 cm","DF"
"Matías Vecino","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","24/08/1991","189 cm","MF"
"Lorenzo Venuti","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","12/04/1995","176 cm","DF"
"Daniele Verde","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","20/06/1996","168 cm","FW"
"Simone Verdi","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","12/07/1992","174 cm","FW"
"Jordan Veretout","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","01/03/1993","177 cm","MF"
"Edoardo Vergani","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","06/02/2001","186 cm","FW"
"Valerio Verre","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","11/01/1994","181 cm","MF"
