"Player","","Team","born","Height","Position"
"Edoardo Piana","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","29/09/2003","197 cm","GK"
"Marzio Pica","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","04/02/2002","178 cm","DF"
"Stefano Piccinini","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","31/12/2002","183 cm","DF"
"Roberto Piccoli","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","27/01/2001","187 cm","FW"
"Christian Pierobon","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","26/03/2002","188 cm","MF"
"Niccoló Pietra","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","28/09/2003","189 cm","MF"
"Andrea Pinamonti","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","19/05/1999","185 cm","FW"
"Carlo Pinsoglio","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","16/03/1990","194 cm","GK"
"Pierluigi Pinto","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","22/09/1998","188 cm","DF"
"Marko Pjaca","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","06/05/1995","186 cm","FW"
"Tommaso Pobega","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","15/07/1999","188 cm","MF"
"Suf Podgoreanu","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","20/01/2002","193 cm","FW"
"Andrea Poli","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","29/09/1989","182 cm","MF"
"Matteo Politano","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","03/08/1993","171 cm","FW"
"Fabio Ponsi","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","12/02/2001","186 cm","DF"
"Manolo Portanova","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","02/06/2000","197 cm","MF"
"Nik Prelec","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","10/06/2001","186 cm","FW"
"Sebastian Prödl","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","21/06/1987","196 cm","DF"
"Ivan Provedel","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","17/03/1994","192 cm","GK"
"Ruben Providence","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","07/07/2001","172 cm","FW"
"Erick Pulgar","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","15/01/1994","187 cm","MF"
"Ignacio Pussetto","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","21/12/1995","180 cm","FW"
"Fabio Quagliarella","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","31/01/1983","182 cm","FW"
"Simone Rabbi","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","30/10/2001","180 cm","FW"
"Adrien Rabiot","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","03/04/1995","191 cm","MF"
"Ivan Radovanović","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","29/08/1988","187 cm","MF"
"Ionuț Radu","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","28/05/1997","188 cm","GK"
"Reinaldo Radu","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","07/01/2002","178 cm","DF"
"Stefan Radu","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","22/10/1986","183 cm","DF"
"Boris Radunović","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","26/05/1996","193 cm","GK"
"Rafael Leão","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","10/06/1999","188 cm","FW"
"Rafael Pinheiro","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","03/03/1982","187 cm","GK"
"Hamza Rafia","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","02/04/1999","178 cm","MF"
"Antonio Raimondo","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","18/03/2004","185 cm","FW"
"Gastón Ramírez","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","02/12/1990","183 cm","MF"
"Juan Ramos","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","01/09/1996","180 cm","DF"
"Aaron Ramsey","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","26/12/1990","182 cm","MF"
"Antonio Ranieri","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","29/05/2003","177 cm","MF"
"Andrea Ranocchia","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","16/02/1988","195 cm","DF"
"Filippo Ranocchia","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","14/05/2001","178 cm","MF"
"Giacomo Raspadori","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","18/02/2000","172 cm","FW"
"Raúl Moro","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","05/12/2002","172 cm","FW"
"Federico Ravaglia","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","11/11/1999","196 cm","GK"
"Nicola Ravaglia","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","12/12/1988","184 cm","GK"
"Ante Rebić","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","21/09/1993","185 cm","FW"
"Arkadiusz Reca","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","17/06/1995","187 cm","DF"
"Vasco Regini","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","09/09/1990","185 cm","DF"
"Bryan Reynolds","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","28/06/2001","191 cm","DF"
"Franck Ribéry","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","07/04/1983","170 cm","MF"
"Matteo Ricci","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","27/05/1994","176 cm","MF"
