"Player","","Team","born","Height","Position"
"Filip Stanković","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","25/02/2002","187 cm","GK"
"Thomas Strakosha","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","19/03/1995","193 cm","GK"
"Kevin Strootman","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","13/02/1990","187 cm","MF"
"Jens Stryger Larsen","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","21/02/1991","182 cm","DF"
"Stefano Sturaro","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","09/03/1993","181 cm","MF"
"Abdullahi Suleiman","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","22/03/1998","173 cm","FW"
"Boško Šutalo","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","01/01/2000","188 cm","DF"
"Mattias Svanberg","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","05/01/1999","185 cm","MF"
"Wojciech Szczęsny","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","18/04/1990","195 cm","GK"
"Lamine Tall","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","05/12/2001","???","FW"
"Adrien Tameze","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","04/02/1994","180 cm","MF"
"Ciprian Tătăruşanu","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","09/02/1986","198 cm","GK"
"Andrés Tello","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","06/09/1996","181 cm","MF"
"Filippo Terracciano","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","08/02/2003","181 cm","MF"
"Pietro Terracciano","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","08/03/1990","193 cm","GK"
"Claudio Terzi","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","19/06/1984","182 cm","DF"
"Morten Thorsby","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","05/05/1996","189 cm","MF"
"Mattia Timmoneri","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","01/02/2003","177 cm","MF"
"Tòfol Montiel","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","11/04/2000","178 cm","MF"
"Jeremy Toljan","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","08/08/1994","182 cm","DF"
"Rafael Tolói","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","10/10/1990","185 cm","DF"
"Takehiro Tomiyasu","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","05/11/1998","188 cm","DF"
"Fikayo Tomori","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","19/12/1997","184 cm","DF"
"Sandro Tonali","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","08/05/2000","181 cm","MF"
"Lorenzo Tonelli","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","17/01/1990","183 cm","DF"
"Riccardo Tonin","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","30/01/2001","180 cm","FW"
"Ernesto Torregrossa","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","28/06/1992","184 cm","FW"
"Mattéo Tramoni","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","20/01/2000","175 cm","MF"
"Chaka Traorè","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","23/12/2004","175 cm","FW"
