"Player","","Team","born","Height","Position"
"Luigi Sepe","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","08/05/1991","185 cm","GK"
"Florent Shehu","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","17/05/2002","184 cm","MF"
"Eldor Shomurodov","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","29/06/1995","190 cm","FW"
"Marco Silvestri","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","02/03/1991","191 cm","GK"
"Giovanni Simeone","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","05/07/1995","181 cm","FW"
"Wilfried Singo","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","25/12/2000","190 cm","DF"
"Salvatore Sirigu","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","12/01/1987","192 cm","GK"
"Łukasz Skorupski","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","05/05/1991","187 cm","GK"
"Andreas Skov Olsen","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","29/12/1999","187 cm","FW"
"Milan Škriniar","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","11/02/1995","188 cm","DF"
"Chris Smalling","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","22/11/1989","194 cm","DF"
"Simon Sohm","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","11/04/2001","188 cm","MF"
"Francesco Solimeno","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","19/08/2002","???","DF"
"Roberto Soriano","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","08/02/1991","182 cm","MF"
"Riccardo Sottil","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","03/06/1999","180 cm","FW"
"Adama Soumaoro","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","18/06/1992","186 cm","DF"
"Leonardo Spinazzola","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","25/03/1993","186 cm","MF"
"Marco Sportiello","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","10/05/1992","192 cm","GK"
"Mattia Sprocati","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","28/04/1993","178 cm","FW"
"Niccolò Squizzato","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","07/01/2002","???","MF"
"Luca Stanga","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","23/01/2002","???","DF"
