"Player","","Team","born","Height","Position"
"Antonio Barreca","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","18/03/1995","183 cm","DF"
"Musa Barrow","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","14/11/1998","183 cm","FW"
"Daniele Baselli","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","12/03/1992","182 cm","MF"
"Salah Basha","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","05/03/2003","173 cm","FW"
"Alessandro Bastoni","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","13/04/1999","190 cm","DF"
"Simone Bastoni","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","05/11/1996","183 cm","MF"
"Thomas Battistella","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","29/07/2001","172 cm","MF"
"Valon Behrami","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","19/04/1985","184 cm","MF"
"Andrea Belotti","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","20/12/1993","181 cm","FW"
"Ahmad Benali","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","07/02/1992","173 cm","MF"
"Marco Benassi","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","08/09/1994","184 cm","MF"
"Ismaël Bennacer","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","01/12/1997","175 cm","MF"
"Rodrigo Bentancur","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","05/06/1997","187 cm","MF"
"Alessandro Berardi","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","16/01/1991","185 cm","GK"
"Domenico Berardi","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","01/08/1994","183 cm","FW"
