#Kaique Rocha
#Nikola Kalinić
#Yayah Kallon
#Pierre Kalulu
#Yann Karamoh
Ibrahim Karamoko
#Isaac Karamoko
#Rick Karsdorp
Franck Kessié
#Omar Khailoti
Simon Kjær
#Ragnar Klavan
Aleksandr Kokorin
Aleksandar Kolarov
#Márk Kosznovszky
#Christian Kouamé
Kalidou Koulibaly
Viktor Kovalenko
#Titas Krapikas
Dimo Krastev
Rade Krunić
#Altin Kryeziu
#Juraj Kucka
Dejan Kulusevski
#Marash Kumbulla
Jasmin Kurtić
#Giorgos Kyriakopoulos
#Antonino La Gumina
Valerio Labriola
#Sam Lammers
Gianluca Lapadula
#Kevin Lasagna
#Darko Lazović
Manuel Lazzari
#Léo Sena
#Mehdi Léris
#Karlo Letica
#Gaetano Letizia
#Karol Linetty
Llorente
$Stanislav Lobotka
Manuel Locatelli
#Maxime López
Matteo Lovato
#Hirving Lozano
#Lucas Leiva
Igor Lucatelli
Luis Alberto
#Luiz Felipe
Romelu Lukaku
#Saša Lukić
#Senad Lulić
Sebastiano Luperto
#Zito Luvumbo
Lyanco
#Charalampos Lykogiannis
Ibrahima M'Baye
#Lisandro Magallán
#Giulio Maggiore
Francesco Magnanelli
#Giangiacomo Magnani
#Jean-Victor Makengo
Nikola Maksimović
#Kévin Malcuit
Daniel Maldini
Ruslan Malinovskiy
#Dennis Man
Gianluca Mancini
#Rolando Mandragora
Mario Mandžukić
#Nicoló Manfredini
Kostas Manolas
Federico Marchetti
#Riccardo Marchizza
#Iulius Mărginean
#Daniele Mariani
Răzvan Marin
Mário Rui
#Marlon
#Luca Marrone
Lautaro Martínez
#Adam Marušić
#Davide Masella
#Andrea Masiello
#Federico Mattiello
Antonio Mazzotta
Joakim Mæhle
Weston McKennie
Gary Medel
#Soualiho Meïté
#Filippo Melegoni
#Alessandro Mercati
#Alex Meret
Dries Mertens
Nikos Michelis
#Petar Mićin
Massimiliano Mignogna
#Miguel Veloso
Valentin Mihăilă
#Tommaso Milanese
Nikola Milenković
Sergej Milinković-Savić
Vanja Milinković-Savić
#Joseph Minala
#Antonio Mionić
Aleksey Miranchuk
Antonio Mirante
Henrikh Mkhitaryan
Leonardo Moleri
Salvatore Molina
#Nahuel Molina Lucero
#Marco Molla
#Gabriele Moncini
#Lorenzo Montipò
Morata
#Lorenzo Moretti
#Raul Morichelli
#Mert Müldür
#Louis Munteanu
Luis Muriel
#Vedat Muriqi
#Nicola Murru
#Mateo Musacchio
#Juan Musso
#Nicolas N'Koulou
Radja Nainggolan
#Nahitan Nández
#Angelo Ndrecka
Ilija Nestorovski
#Hans Nicolussi Caviglia
#Bram Nuytinck
#Simeon Nwankwo
#M'bala Nzola
#Brian Oddei
#Stefano Okaka
#Maximiliano Olivera
#Giacomo Olzer
#Jérôme Onguéné
#Riccardo Orsolini
Victor Osimhen
#Yordan Osorio
David Ospina
#Adam Ounas
#Thomas Ouwejan
Daniele Padelli
#Mattia Pagliuca
Rodrigo Palacio
#Alberto Paleari
#José Palomino
#Martin Palumbo
#Simone Panada
Goran Pandev
#Ivor Pandur
#Marco Parolo
#Mario Pašalić
#Christian Pastina
Javier Pastore
#Patric
Pau López
Leonardo Pavoletti
Pedro
#Pedro Obiang
#Pedro Pereira
#Daouda Peeters
#Gianluca Pegolo
Graziano Pellè
Lorenzo Pellegrini
Luca Pellegrini
#Federico Peluso
Pepe Reina
#Gastón Pereiro
Roberto Pereyra
#Mattia Perin
Ivan Perišić
Matteo Pessina
#Andrea Petagna
#Jacopo Petriccione
#Germán Pezzella
#Giuseppe Pezzella
#Marzio Pica
Stefano Piccinini
#Roberto Piccoli
#Christian Pierobon
#Niccoló Pietra
Andrea Pinamonti
#Carlo Pinsoglio
Pierluigi Pinto
#Marko Pjaca
#Tommaso Pobega
#Suf Podgoreanu
Andrea Poli
Matteo Politano
#Fabio Ponsi
Manolo Portanova
#Nik Prelec
#Sebastian Prödl
#Ivan Provedel
#Ruben Providence
#Erick Pulgar
Ignacio Pussetto
Fabio Quagliarella
#Simone Rabbi
Adrien Rabiot
Ivan Radovanović
#Ionuț Radu
#Reinaldo Radu
Stefan Radu
#Boris Radunović
Rafael Leão
#Rafael Pinheiro
Hamza Rafia
Antonio Raimondo
Gastón Ramírez
#Juan Ramos
Aaron Ramsey
Antonio Ranieri
Andrea Ranocchia
Filippo Ranocchia
Giacomo Raspadori
#Raúl Moro
Federico Ravaglia
#Nicola Ravaglia
Ante Rebić
#Arkadiusz Reca
Vasco Regini
#Bryan Reynolds
Franck Ribéry
#Matteo Ricci
#Jacopo Riccò
#Alessandro Rigo
#Filippo Rinaldi
#Tomás Rincón
#Andrea Rispoli
#Emmanuel Rivière
#Emil Roback
#Matias Rocchi
#Rodrigo Becão
Ricardo Rodríguez
#Marko Rog
#Rogério
Luis Rojas
Filippo Romagna
Alessio Romagnoli
Aristóteles Romero
Cristian Romero
#Antonio Rosati
Francesco Rossi
Nicolò Rovella
#Amir Rrahmani
#Kevin Rüegg
#Dion Ruffo Luci
Daniele Rugani
#Matteo Ruggeri
#Matteo Saccani
Alexis Saelemaekers
#Jacopo Sala
#Eddie Salcedo
#Salva Ferrer
#Luigi Samele
Samir
Samu Castillejo
Antonio Sanabria
Alexis Sánchez
#Siriki Sanogo
#Nicola Sansone
#Federico Santander
#Davide Santon
#Riccardo Saponara
#Martín Satriano
#Marco Sau
#Răzvan Sava
Giorgio Scalvini
#Gianluca Scamacca
#Pasquale Schiattarella
#Jerdy Schouten
#Simone Scuffet
Stefano Sensi
#Florent Shehu
Eldor Shomurodov
#Marco Silvestri
Giovanni Simeone
#Wilfried Singo
Salvatore Sirigu
#Łukasz Skorupski
#Andreas Skov Olsen
Milan Škriniar
Chris Smalling
#Simon Sohm
#Francesco Solimeno
Roberto Soriano
#Riccardo Sottil
#Adama Soumaoro
Leonardo Spinazzola
#Marco Sportiello
#Mattia Sprocati
#Niccolò Squizzato
#Luca Stanga
Filip Stanković
#Thomas Strakosha
Kevin Strootman
Jens Stryger Larsen
Stefano Sturaro
#Abdullahi Suleiman
#Boško Šutalo
#Mattias Svanberg
Wojciech Szczęsny
#Lamine Tall
#Adrien Tameze
#Ciprian Tătăruşanu
#Andrés Tello
Filippo Terracciano
Pietro Terracciano
#Claudio Terzi
#Morten Thorsby
Mattia Timmoneri
Tòfol Montiel
Jeremy Toljan
Rafael Tolói
Takehiro Tomiyasu
Fikayo Tomori
Sandro Tonali
Lorenzo Tonelli
#Riccardo Tonin
Ernesto Torregrossa
#Mattéo Tramoni
#Chaka Traorè
#Alessandro Tripaldelli
#Filippo Tripi
#Alessandro Tuia
#Stefano Turati
#Martin Turk
#Destiny Udogie
Samir Ujkani
#Kacper Urbański
Lautaro Valenti
Matías Vecino
#Lorenzo Venuti
#Daniele Verde
Simone Verdi
#Jordan Veretout
#Edoardo Vergani
Valerio Verre
#Franco Vezzoni
#Samuele Vianni
#Guglielmo Vicario
Arturo Vidal
#Ronaldo Vieira
#Luca Vignali
Emanuel Vignato
#Nicolas Viola
Samuele Vitale
Dušan Vlahović
#Rok Vodišek
#Mërgim Vojvoda
#Giacomo Vrioni
#Miloš Vulić
Walace
#Sebastian Walukiewicz
#David Wieser
#Sergio Yakubiv
#Philip Yeboah
#Maya Yoshida
Ashley Young
Mattia Zaccagni
#Vasilios Zagaritis
#Miha Zajc
Nicola Zalewski
#Niccolò Zanellato
Nicolò Zaniolo
Cristián Zapata
Duván Zapata
Gabriele Zappa
Davide Zappacosta
Simone Zaza
#Karim Zedadka
Piotr Zieliński
#Lukáš Zima
Joshua Zirkzee
#Jeroen Zoet
