"Player","","Team","born","Height","Position"
"Lucas Martínez Quarta","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","10/05/1996","183 cm","DF"
"Adam Marušić","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","17/10/1992","185 cm","MF"
"Davide Masella","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","12/05/2002","185 cm","MF"
"Andrea Masiello","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","05/02/1986","185 cm","DF"
"Federico Mattiello","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","14/07/1995","184 cm","MF"
"Antonio Mazzotta","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","02/08/1989","183 cm","DF"
"Joakim Mæhle","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","20/05/1997","185 cm","DF"
"Weston McKennie","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","28/08/1998","185 cm","MF"
"Gary Medel","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","03/08/1987","171 cm","MF"
"Soualiho Meïté","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","17/03/1994","187 cm","MF"
"Filippo Melegoni","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","18/02/1999","185 cm","MF"
"Alessandro Mercati","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","12/05/2002","171 cm","MF"
"Alex Meret","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","22/03/1997","190 cm","GK"
"Dries Mertens","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","06/05/1987","169 cm","FW"
"Nikos Michelis","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","23/03/2001","192 cm","DF"
"Petar Mićin","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","29/09/1998","189 cm","FW"
"Massimiliano Mignogna","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","18/02/2003","184 cm","DF"
"Miguel Veloso","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","11/05/1986","180 cm","MF"
"Valentin Mihăilă","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","02/02/2000","180 cm","FW"
"Tommaso Milanese","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","31/07/2002","173 cm","MF"
"Nikola Milenković","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","12/10/1997","195 cm","DF"
"Sergej Milinković-Savić","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","27/02/1995","191 cm","MF"
"Vanja Milinković-Savić","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","20/02/1997","202 cm","GK"
"Joseph Minala","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","24/08/1996","184 cm","MF"
"Antonio Mionić","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","31/05/2001","175 cm","FW"
"Aleksey Miranchuk","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","17/10/1995","182 cm","MF"
"Antonio Mirante","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","08/07/1983","194 cm","GK"
"Henrikh Mkhitaryan","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","21/01/1989","178 cm","MF"
"Leonardo Moleri","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","18/01/2002","196 cm","GK"
"Salvatore Molina","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","01/01/1992","174 cm","MF"
"Nahuel Molina Lucero","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","02/12/1997","175 cm","DF"
"Marco Molla","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","19/06/2002","192 cm","GK"
"Gabriele Moncini","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","26/04/1996","183 cm","FW"
"Lorenzo Montipò","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","20/02/1996","191 cm","GK"
"Morata","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","23/10/1992","189 cm","FW"
"Lorenzo Moretti","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","26/02/2002","190 cm","DF"
"Raul Morichelli","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","25/07/2002","???","DF"
"Mert Müldür","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","03/04/1999","185 cm","DF"
"Louis Munteanu","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","16/06/2002","180 cm","FW"
"Luis Muriel","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","16/04/1991","179 cm","FW"
"Vedat Muriqi","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","24/04/1994","194 cm","FW"
"Nicola Murru","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","16/12/1994","180 cm","DF"
"Mateo Musacchio","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","26/08/1990","180 cm","DF"
"Juan Musso","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","06/05/1994","191 cm","GK"
"Nicolas N'Koulou","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","27/03/1990","184 cm","DF"
"Radja Nainggolan","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","04/05/1988","176 cm","MF"
"Nahitan Nández","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","28/12/1995","171 cm","MF"
"Angelo Ndrecka","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","24/09/2001","181 cm","DF"
"Ilija Nestorovski","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","12/03/1990","182 cm","FW"
"Hans Nicolussi Caviglia","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","18/06/2000","181 cm","MF"
