"Player","","Team","born","Height","Position"
"Alessandro Riccio","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","06/02/2002","187 cm","DF"
"Jacopo Riccò","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","09/02/2003","179 cm","GK"
"Alessandro Rigo","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","25/02/2002","???","MF"
"Filippo Rinaldi","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","04/12/2002","188 cm","GK"
"Tomás Rincón","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","13/01/1988","177 cm","MF"
"Andrea Rispoli","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","29/09/1988","188 cm","DF"
"Emmanuel Rivière","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","03/03/1990","182 cm","FW"
"Emil Roback","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","03/05/2003","187 cm","FW"
"Matias Rocchi","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","23/10/2002","179 cm","FW"
"Rodrigo Becão","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","19/01/1996","191 cm","DF"
"Ricardo Rodríguez","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","25/08/1992","182 cm","DF"
"Marko Rog","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","19/07/1995","180 cm","MF"
"Rogério","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","13/01/1998","178 cm","DF"
"Luis Rojas","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","06/03/2002","179 cm","MF"
"Filippo Romagna","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","26/05/1997","185 cm","DF"
"Alessio Romagnoli","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","12/01/1995","188 cm","DF"
"Aristóteles Romero","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","18/10/1995","182 cm","MF"
"Cristian Romero","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","27/04/1998","185 cm","DF"
"Antonio Rosati","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","26/03/1983","195 cm","GK"
"Francesco Rossi","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","27/04/1991","193 cm","GK"
"Nicolò Rovella","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","04/12/2001","179 cm","MF"
"Amir Rrahmani","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","24/02/1994","192 cm","DF"
"Kevin Rüegg","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","05/08/1998","173 cm","DF"
"Dion Ruffo Luci","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","12/07/2001","179 cm","MF"
"Daniele Rugani","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","29/07/1994","188 cm","DF"
"Matteo Ruggeri","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","11/07/2002","179 cm","DF"
"Matteo Saccani","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","01/01/2001","183 cm","DF"
"Alexis Saelemaekers","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","27/06/1999","180 cm","MF"
"Jacopo Sala","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","05/12/1991","184 cm","DF"
"Eddie Salcedo","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","01/10/2001","178 cm","FW"
"Salva Ferrer","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","21/01/1998","184 cm","DF"
"Luigi Samele","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","09/04/2002","186 cm","FW"
"Samir","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","05/12/1994","188 cm","DF"
"Samu Castillejo","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","18/01/1995","179 cm","FW"
"Antonio Sanabria","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","04/03/1996","181 cm","FW"
"Alexis Sánchez","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","19/12/1988","169 cm","FW"
"Siriki Sanogo","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","21/12/2001","178 cm","MF"
"Nicola Sansone","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","10/09/1991","172 cm","FW"
"Federico Santander","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","04/06/1991","187 cm","FW"
"Davide Santon","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","02/01/1991","187 cm","DF"
"Riccardo Saponara","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","21/12/1991","184 cm","MF"
"Martín Satriano","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","20/02/2001","187 cm","FW"
