"Player","","Team","born","Height","Position"
"Diego Farias","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","10/05/1990","173 cm","FW"
"Daan Dierckx","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","24/02/2003","191 cm","DF"
"Mitchell Dijks","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","09/02/1993","194 cm","DF"
"Federico Dimarco","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","10/11/1997","175 cm","DF"
"Diogo Dalot","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","18/03/1999","184 cm","DF"
"Koffi Djidji","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","30/11/1992","184 cm","DF"
"Berat Djimsiti","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","19/02/1993","191 cm","DF"
"Nicolás Domínguez","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","28/06/1998","179 cm","MF"
"Antonio Donnarumma","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","07/07/1990","192 cm","GK"
"Gianluigi Donnarumma","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","25/02/1999","196 cm","GK"
"Bartłomiej Drągowski","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","19/08/1997","191 cm","GK"
"Denis Drăguş","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","06/07/1999","185 cm","FW"
"Radu Drăgușin","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","03/02/2002","191 cm","DF"
"Daniel Dumbrăvanu","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","22/07/2001","192 cm","DF"
"Alfred Duncan","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","10/03/1993","178 cm","MF"
"Eduard Dutu","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","18/04/2001","192 cm","DF"
