"Player","","Team","born","Height","Position"
"Paulo Dybala","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","15/11/1993","177 cm","MF"
"Edin Džeko","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","17/03/1986","193 cm","FW"
"Filip Đuričić","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","30/01/1992","181 cm","MF"
"Steeve Eboa","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","20/02/2001","180 cm","MF"
"Eduardo Henrique","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","17/05/1995","186 cm","MF"
"Albin Ekdal","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","28/07/1989","186 cm","MF"
"Stephan El Shaarawy","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","27/10/1992","178 cm","FW"
"Eljif Elmas","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","24/09/1999","182 cm","MF"
"Christian Eriksen","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","14/02/1992","182 cm","MF"
"Martin Erlić","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","24/01/1998","192 cm","DF"
"Gonzalo Escalante","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","27/03/1993","182 cm","MF"
"Nahuel Estévez","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","14/11/1995","182 cm","MF"
"Valentin Eysseric","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","25/03/1992","181 cm","MF"
"Fabián Ruiz","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","03/04/1996","189 cm","MF"
"Nicolò Fagioli","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","12/02/2001","178 cm","MF"
"Paolo Faragò","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","12/02/1993","187 cm","MF"
"Davide Faraoni","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","25/10/1991","180 cm","DF"
"Simone Farelli","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","19/02/1983","186 cm","GK"
"Mohamed Fares","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","15/02/1996","183 cm","MF"
"Andrea Favilli","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","17/05/1997","191 cm","FW"
"Federico Fazio","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","17/03/1987","195 cm","DF"
"Félix Correia","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","22/01/2001","178 cm","FW"
"Amir Feratovič","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","08/06/2002","189 cm","DF"
"Erick Ferigra","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","07/02/1999","180 cm","DF"
"Alex Ferrari","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","01/07/1994","191 cm","DF"
"Gianmarco Ferrari","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","15/02/1992","189 cm","DF"
"Marco Festa","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","06/06/1992","190 cm","GK"
"Fernando Forestieri","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","16/01/1990","172 cm","FW"
"Daam Foulon","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","23/03/1999","180 cm","DF"
"Gianluca Frabotta","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","24/06/1999","187 cm","DF"
"Damiano Franco","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","22/02/2002","192 cm","DF"
"Remo Freuler","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","15/04/1992","181 cm","MF"
"Marco Frigerio","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","16/07/2001","171 cm","DF"
"Alessio Furlanetto","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","07/09/2002","191 cm","GK"
