"Player","","Team","born","Height","Position"
"Ciro Immobile","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","20/02/1990","185 cm","FW"
"Riccardo Improta","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","19/12/1993","179 cm","FW"
"Roberto Inglese","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","12/11/1991","186 cm","FW"
"Lorenzo Insigne","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","04/06/1991","163 cm","FW"
"Roberto Insigne","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","11/05/1994","172 cm","FW"
"Artur Ioniță","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","17/08/1990","186 cm","MF"
"Ardian Ismajli","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","30/09/1996","185 cm","DF"
"Franco Israel","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","22/04/2000","190 cm","GK"
"Armando Izzo","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","02/03/1992","183 cm","DF"
"Mato Jajalo","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","24/05/1988","182 cm","MF"
"Jakub Jankto","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","19/01/1996","184 cm","MF"
"João Pedro","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","09/03/1992","184 cm","FW"
"Bogdan Jočić","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","11/01/2001","183 cm","MF"
"José Callejón","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","11/02/1987","178 cm","FW"
"Juan Jesus","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","10/06/1991","185 cm","DF"
"Andreas Jungdal","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","22/02/2002","195 cm","GK"
"Junior Messias","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","13/05/1991","183 cm","FW"
"Musa Juwara","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","26/12/2001","170 cm","FW"
"Kaique Rocha","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","28/02/2001","195 cm","DF"
"Nikola Kalinić","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","05/01/1988","187 cm","FW"
"Yayah Kallon","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","30/06/2001","175 cm","FW"
"Pierre Kalulu","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","05/06/2000","179 cm","DF"
"Yann Karamoh","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","08/07/1998","185 cm","FW"
"Ibrahim Karamoko","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","23/07/2001","187 cm","MF"
"Isaac Karamoko","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","26/05/2002","175 cm","FW"
"Rick Karsdorp","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","11/02/1995","184 cm","DF"
"Franck Kessié","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","19/12/1996","183 cm","MF"
