"Player","","Team","born","Height","Position"
"Omar Khailoti","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","05/09/2001","192 cm","DF"
"Simon Kjær","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","26/03/1989","191 cm","DF"
"Ragnar Klavan","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","30/10/1985","187 cm","DF"
"Aleksandr Kokorin","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","19/03/1991","184 cm","FW"
"Aleksandar Kolarov","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","10/11/1985","187 cm","DF"
"Márk Kosznovszky","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","17/04/2002","177 cm","MF"
"Christian Kouamé","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","06/12/1997","185 cm","FW"
"Kalidou Koulibaly","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","20/06/1991","187 cm","DF"
"Viktor Kovalenko","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","14/02/1996","182 cm","MF"
"Titas Krapikas","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","03/01/1999","195 cm","GK"
"Dimo Krastev","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","10/02/2003","195 cm","MF"
"Rade Krunić","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","07/10/1993","184 cm","MF"
"Altin Kryeziu","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","03/01/2002","183 cm","MF"
"Juraj Kucka","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","26/02/1987","186 cm","MF"
"Dejan Kulusevski","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","25/04/2000","186 cm","MF"
"Marash Kumbulla","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","08/02/2000","190 cm","DF"
"Jasmin Kurtić","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","10/01/1989","186 cm","MF"
"Giorgos Kyriakopoulos","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","05/02/1996","178 cm","DF"
"Antonino La Gumina","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","06/03/1996","182 cm","FW"
"Valerio Labriola","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","13/04/2001","173 cm","MF"
"Sam Lammers","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","30/04/1997","191 cm","FW"
"Gianluca Lapadula","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","07/02/1990","178 cm","FW"
"Kevin Lasagna","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","10/08/1992","181 cm","FW"
