# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Player","","Team","born","Height","Position"
"Antonín Barák","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","03/12/1994","190 cm","MF"
"Federico Barba","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","01/09/1993","185 cm","DF"
"Nicolò Barella","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","07/02/1997","172 cm","MF"
"Madiu Bari","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","09/03/1998","178 cm","MF""Antonio Barreca","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","18/03/1995","183 cm","DF"
"Musa Barrow","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","14/11/1998","183 cm","FW"
"Daniele Baselli","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","12/03/1992","182 cm","MF"
"Salah Basha","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","05/03/2003","173 cm","FW"
"Alessandro Bastoni","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","13/04/1999","190 cm","DF"
"Simone Bastoni","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","05/11/1996","183 cm","MF"
"Thomas Battistella","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","29/07/2001","172 cm","MF"
"Valon Behrami","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","19/04/1985","184 cm","MF"
"Andrea Belotti","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","20/12/1993","181 cm","FW"
"Ahmad Benali","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","07/02/1992","173 cm","MF"
"Marco Benassi","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","08/09/1994","184 cm","MF"
"Ismaël Bennacer","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","01/12/1997","175 cm","MF"
"Rodrigo Bentancur","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","05/06/1997","187 cm","MF"
"Alessandro Berardi","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","16/01/1991","185 cm","GK"
"Domenico Berardi","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","01/08/1994","183 cm","FW"
"Bartosz Bereszyński","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","12/07/1992","183 cm","DF"
"Federico Bernardeschi","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","16/02/1994","185 cm","MF"
"Filippo Berti","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","31/01/2003","???","GK"
"Lorenzo Bertini","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","17/08/2001","???","FW"
"Marco Bertini","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","07/08/2002","185 cm","MF"
"Nicoló Bertola","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","23/03/2003","192 cm","DF"
"Alessandro Bianco","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","01/10/2002","183 cm","MF"
"Cristiano Biraghi","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","01/09/1992","186 cm","DF"
"Davide Biraschi","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","02/07/1994","182 cm","DF"
"Salvatore Boccia","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","06/06/2001","182 cm","DF"
"Pietro Boer","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","12/05/2002","193 cm","GK"
"Jérémie Boga","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","03/01/1997","172 cm","MF"
"Giacomo Bonaventura","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","22/08/1989","180 cm","MF"
"Federico Bonazzoli","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","21/05/1997","183 cm","FW"
"Nicholas Bonfanti","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","28/03/2002","178 cm","FW"
"Kevin Bonifazi","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","19/05/1996","187 cm","DF"
"Leonardo Bonucci","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","01/05/1987","190 cm","DF"
"Nicola Borghetto","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","25/11/1999","188 cm","GK"
"Borja Mayoral","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","05/04/1997","182 cm","FW"
"Borja Valero","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","12/01/1985","175 cm","MF"
"Riccardo Boscolo Chio","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","06/07/2002","184 cm","MF"
"Mehdi Bourabia","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","07/08/1991","183 cm","MF"
"Edoardo Bove","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","16/05/2002","172 cm","MF"
"Jayden Braaf","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","31/08/2002","179 cm","FW"
"Eugenio Bracelli","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","25/01/2002","186 cm","DF"
"Brahim Díaz","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","03/08/1999","170 cm","MF"
"Federico Brancolini","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","14/07/2001","187 cm","GK"
"Bremer","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","18/03/1997","183 cm","DF"
"Marcelo Brozović","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","16/11/1992","181 cm","MF"
"Gastón Brugman","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","07/09/1992","178 cm","MF"
"Juan Brunetta","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","12/05/1997","175 cm","MF"
"Bruno Alves","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","27/11/1981","189 cm","DF"
"Bruno Peres","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","01/03/1990","178 cm","DF"
"Gianluigi Buffon","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","28/01/1978","192 cm","GK"
"Alessandro Buongiorno","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","06/06/1999","194 cm","DF""Maxime Busi","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","14/10/1999","182 cm","DF"
"Martín Cáceres","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","07/04/1987","182 cm","DF"
"Felipe Caicedo","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","05/09/1988","183 cm","FW"
"Bernardo Calabrese","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","25/04/2002","187 cm","DF"
"Arturo Calabresi","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","17/03/1996","186 cm","DF"
"Davide Calabria","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","06/12/1996","177 cm","DF"
"Riccardo Calafiori","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","19/05/2002","186 cm","DF"
"Mattia Caldara","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","05/05/1994","190 cm","DF"
"Luca Caldirola","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","01/02/1991","189 cm","DF"
"Hakan Çalhanoğlu","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","08/02/1994","178 cm","MF"
"Drissa Camara","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","18/02/2002","169 cm","MF"
"Matteo Cancellieri","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","12/02/2002","173 cm","FW"
"Antonio Candreva","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","28/02/1987","180 cm","MF"
"Riccardo Capellini","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","01/03/2000","185 cm","DF"
"Elio Capradossi","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","11/03/1996","185 cm","DF"
"Gianluca Caprari","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","30/07/1993","176 cm","FW"
"Francesco Caputo","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","06/08/1987","181 cm","FW"
"Andrea Carboni","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","04/02/2001","185 cm","DF"
"Franco Carboni","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","04/04/2003","???","FW"
"Carles Pérez","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","16/02/1998","173 cm","FW"
"Matteo Carnelos","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","22/02/2003","???","GK"
"Giuseppe Caso","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","09/12/1998","172 cm","FW"
"Francesco Cassata","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","16/07/1997","183 cm","MF"
"Gaetano Castrovilli","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","17/02/1997","180 cm","MF"
"Danilo Cataldi","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","06/08/1994","180 cm","MF"
"Federico Ceccherini","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","11/05/1992","187 cm","DF"
"Christian Celesia","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","22/01/2002","183 cm","DF"
"Luca Ceppitelli","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","11/08/1989","189 cm","DF"
"Alberto Cerri","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","16/04/1996","194 cm","FW"
"Yıldırım Mert Çetin","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","01/01/1997","189 cm","DF"
"Julian Chabot","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","12/02/1998","195 cm","DF"
"Giorgio Chiellini","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","14/08/1984","187 cm","DF"
"Federico Chiesa","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","25/10/1997","175 cm","MF"
"Vlad Chiricheş","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","14/11/1989","184 cm","DF"
"Lorenzo Chiti","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","13/01/2001","187 cm","DF"
"Riccardo Ciervo","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","01/04/2002","190 cm","FW"
"Luca Cigarini","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","20/06/1986","175 cm","MF"
"Giuseppe Ciocci","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","24/01/2002","183 cm","GK"
"Antonio Cioffi","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","19/12/2002","180 cm","FW"
"Denilho Cleonise","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","08/12/2001","179 cm","FW"
"Ebrima Colley","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","01/02/2000","179 cm","MF"
"Omar Colley","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","24/10/1992","191 cm","DF"
"Simone Colombi","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","01/07/1991","188 cm","GK"
"Andrea Consigli","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","27/01/1987","189 cm","GK"
"Andrea Conti","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","02/03/1994","184 cm","DF"
"Gianluca Contini","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","18/06/2001","187 cm","FW"
"Nikita Contini","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","21/05/1996","190 cm","GK"
"Alex Cordaz","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","01/01/1983","188 cm","GK"
"Andreas Cornelius","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","16/03/1993","195 cm","FW"
"Joaquín Correa","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","13/08/1994","189 cm","MF""Alessandro Cortinovis","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","25/01/2001","180 cm","MF"
"Davide Costanzo","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","04/07/2002","180 cm","DF"
"Alessio Cragno","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","28/06/1994","184 cm","GK"
"Gian Marco Crespi","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","28/06/2001","185 cm","GK"
"Domenico Criscito","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","30/12/1986","183 cm","DF"
"Bryan Cristante","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","03/03/1995","187 cm","MF"
"Cristiano Ronaldo","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","05/02/1985","187 cm","FW"
"Juan Cuadrado","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","26/05/1988","176 cm","DF"
"Giuseppe Cuomo","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","02/02/1998","190 cm","DF"
"Francesco Cusumano","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","06/02/2001","193 cm","DF"
"Wylan Cyprien","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","28/01/1995","180 cm","MF"
"Lennart Czyborra","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","03/05/1999","181 cm","DF"
"Szymon Czyż","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","08/07/2001","185 cm","MF"
"Giuseppe D'Agostino","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","11/05/2003","???","FW"
"Francesco D'Alterio","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","11/06/2002","188 cm","GK"
"Danilo D'Ambrosio","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","09/09/1988","180 cm","DF"
"Giovanni D'Aprile","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","01/07/2005","188 cm","DF"
"Cosimo Da Graca","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","01/05/2002","185 cm","FW"
"Bryan Dabo","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","18/02/1992","185 cm","MF"
"Mikkel Damsgaard","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","03/07/2000","176 cm","MF"
"Daniel Bessa","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","14/01/1993","178 cm","MF"
"Daniel Fuzato","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","04/07/1997","190 cm","GK"
"Danilo","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","15/07/1991","184 cm","DF"
"Danilo","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","10/05/1984","185 cm","DF"
"Ebrima Darboe","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","06/06/2001","178 cm","MF"
"Matteo Darmian","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","02/12/1989","182 cm","DF"
"Paweł Dawidowicz","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","20/05/1995","191 cm","DF"
"Matthijs de Ligt","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","12/08/1999","188 cm","DF"
"Sebastien De Maio","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","05/03/1987","190 cm","DF"
"Davide De Marino","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","17/03/2000","186 cm","DF"
"Rodrigo de Paul","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","24/05/1994","180 cm","MF"
"Marten de Roon","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","29/03/1991","185 cm","MF"
"Lorenzo De Silvestri","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","23/05/1988","186 cm","DF"
"Stefan de Vrij","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","05/02/1992","189 cm","DF"
"Koni De Winter","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","12/06/2002","188 cm","DF"
"Grégoire Defrel","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","17/06/1991","179 cm","FW"
"Alessandro Deiola","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","01/08/1995","190 cm","MF"
"Isaias Del Pupo","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","31/03/2003","176 cm","MF"
"Cristian Dell'Orco","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","10/02/1994","183 cm","DF"
"Merih Demiral","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","05/03/1998","192 cm","DF"
"Diego Demme","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","21/11/1991","170 cm","MF"
"Fabio Depaoli","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","24/04/1997","182 cm","DF"
"Mattia Destro","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","20/03/1991","182 cm","FW"
"Samuel Di Carmine","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","29/09/1988","187 cm","FW"
"Enrico Di Gesù","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","26/03/2002","179 cm","MF"
"Giovanni Di Lorenzo","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","04/08/1993","183 cm","DF"
"Alessandro Di Pardo","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","18/07/1999","186 cm","DF"
"Giuseppe Di Serio","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","20/07/2001","169 cm","FW"
"Amadou Diambo","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","12/02/2001","178 cm","MF"
"Amadou Diawara","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","17/07/1997","185 cm","MF""Diego Farias","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","10/05/1990","173 cm","FW"
"Daan Dierckx","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","24/02/2003","191 cm","DF"
"Mitchell Dijks","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","09/02/1993","194 cm","DF"
"Federico Dimarco","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","10/11/1997","175 cm","DF"
"Diogo Dalot","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","18/03/1999","184 cm","DF"
